utc_time,x_km_EME2000,y_km_EME2000,z_km_EME2000,vx_kms,vy_kms,vz_kms,distance_from_earth_km,speed_kms
2026-04-04T20:21:51.319,-111454.53253406227,-236551.26094717675,-129862.9887915149,-0.15131346081345,-0.86931746206233,-0.47218628319321,291964.0521296257,1.0007839423700062
2026-04-04T20:25:51.319,-111490.80121102037,-236759.78783743537,-129976.25368852317,-0.15092567978881,-0.86840685188348,-0.4716879856308,292197.232044395,0.9996992432758627
2026-04-04T20:29:51.319,-111526.97693989794,-236968.0963455542,-130089.39908551781,-0.15053889297789,-0.86749761012239,-0.47119044932042,292430.15751700354,0.9986162933769137
2026-04-04T20:33:51.319,-111563.0599589487,-237176.1867993965,-130202.4251648932,-0.15015309740427,-0.86658973214152,-0.47069367171315,292662.8289532612,0.9975350866531033
2026-04-04T20:37:51.319,-111599.05050571437,-237384.05952571525,-130315.33210843342,-0.1497682901111,-0.8656832133254,-0.47019765027239,292895.2467576362,0.9964556171139132
2026-04-04T20:41:51.319,-111634.94881702942,-237591.7148501583,-130428.12009731529,-0.14938446816102,-0.86477804908042,-0.46970238247385,293127.4113332621,0.9953778787981471
2026-04-04T20:45:51.319,-111670.75512902562,-237799.15309727372,-130540.78931211124,-0.14900162863601,-0.86387423483473,-0.46920786580541,293359.3230819441,0.9943018657737405
2026-04-04T20:49:51.319,-111706.46967713676,-238006.37459051484,-130653.33993279227,-0.14861976863735,-0.86297176603808,-0.46871409776709,293590.982404166,0.9932275721375838
2026-04-04T20:53:51.319,-111742.09269610324,-238213.37965224555,-130765.77213873078,-0.14823888528544,-0.86207063816172,-0.46822107587093,293822.38969909673,0.9921549920153384
2026-04-04T20:57:51.319,-111777.62441997662,-238420.16860374543,-130878.08610870357,-0.14785897571976,-0.86117084669824,-0.46772879764097,294053.54536459676,0.9910841195612649
2026-04-04T21:01:51.319,-111813.06508212425,-238626.7417652148,-130990.28202089459,-0.14748003709874,-0.86027238716141,-0.46723726061313,294284.44979722484,0.9900149489579935
2026-04-04T21:05:51.319,-111848.41491523372,-238833.0994557798,-131102.36005289783,-0.14710206659965,-0.8593752550861,-0.46674646233515,294515.1033922443,0.9889474744163943
2026-04-04T21:09:51.319,-111883.67415131746,-239039.24199349748,-131214.32038172017,-0.14672506141854,-0.85847944602811,-0.46625640036653,294745.5065436295,0.9878816901753766
2026-04-04T21:13:51.319,-111918.84302171718,-239245.16969536076,-131326.16318378417,-0.14634901877007,-0.85758495556404,-0.46576707227844,294975.6596440724,0.9868175905016937
2026-04-04T21:17:51.319,-111953.92175710833,-239450.88287730346,-131437.88863493086,-0.14597393588749,-0.85669177929118,-0.46527847565366,295205.56308498885,0.9857551696898
2026-04-04T21:21:51.319,-111988.91058750454,-239656.3818542052,-131549.49691042252,-0.1455998100225,-0.85579991282735,-0.46479060808649,295435.2172565247,0.9846944220616349
2026-04-04T21:25:51.319,-112023.80974226208,-239861.6669398963,-131660.98818494543,-0.14522663844515,-0.85490935181079,-0.4643034671827,295664.62254756247,0.9836353419664728
2026-04-04T21:29:51.319,-112058.61945008422,-240066.73844716276,-131772.36263261264,-0.14485441844376,-0.85402009190006,-0.46381705055946,295893.7793457274,0.9825779237807776
2026-04-04T21:33:51.319,-112093.33993902562,-240271.596687751,-131883.62042696666,-0.14448314732483,-0.85313212877383,-0.46333135584526,296122.6880373935,0.9815221619079533
2026-04-04T21:37:51.319,-112127.97143649665,-240476.24197237278,-131994.76174098224,-0.14411282241293,-0.85224545813085,-0.46284638067982,296351.34900769,0.9804680507782453
2026-04-04T21:41:51.319,-112162.51416926774,-240680.67461070992,-132105.78674706892,-0.14374344105063,-0.85136007568977,-0.46236212271407,296579.7626405073,0.9794155848485502
2026-04-04T21:45:51.319,-112196.9683634737,-240884.89491141905,-132216.69561707388,-0.14337500059839,-0.85047597718901,-0.46187857961005,296807.92931850336,0.9783647586022235
2026-04-04T21:49:51.319,-112231.33424461797,-241088.90318213645,-132327.4885222845,-0.14300749843445,-0.84959315838667,-0.46139574904083,297035.8494231093,0.9773155665489347
2026-04-04T21:53:51.319,-112265.61203757692,-241292.69972948267,-132438.16563343097,-0.14264093195482,-0.84871161506038,-0.46091362869049,297263.5233345358,0.9762680032245106
2026-04-04T21:57:51.319,-112299.80196660406,-241496.28485906724,-132548.727120689,-0.14227529857309,-0.84783134300721,-0.46043221625399,297490.9514317791,0.9752220631907547
2026-04-04T22:01:51.319,-112333.90425533427,-241699.65887549325,-132659.1731536824,-0.1419105957204,-0.84695233804351,-0.45995150943717,297718.13409262645,0.9741777410352886
2026-04-04T22:05:51.319,-112367.91912678802,-241902.82208236208,-132769.5039014857,-0.14154682084537,-0.8460745960048,-0.45947150595663,297945.0716936629,0.9731350313713767
2026-04-04T22:09:51.319,-112401.8468033755,-242105.77478227788,-132879.71953262665,-0.14118397141396,-0.84519811274569,-0.45899220353969,298171.7646102764,0.9720939288378023
2026-04-04T22:13:51.319,-112435.68750690084,-242308.51727685222,-132989.82021508887,-0.14082204490944,-0.84432288413971,-0.45851359992432,298398.21321666404,0.9710544280986694
2026-04-04T22:17:51.319,-112469.44145856617,-242511.04986670855,-133099.8061163143,-0.14046103883224,-0.84344890607922,-0.45803569285909,298624.41788583784,0.970016523843265
2026-04-04T22:21:51.319,-112503.10887897585,-242713.37285148673,-133209.67740320595,-0.14010095069995,-0.8425761744753,-0.45755848010308,298850.3789896304,0.9689802107859075
2026-04-04T22:25:51.319,-112536.68998814047,-242915.48652984752,-133319.43424213008,-0.13974177804718,-0.84170468525759,-0.45708195942584,299076.0968987007,0.9679454836657544
2026-04-04T22:29:51.319,-112570.18500548095,-243117.39119947705,-133429.076798919,-0.13938351842548,-0.84083443437425,-0.4566061286073,299301.5719825401,0.9669123372467006
2026-04-04T22:33:51.319,-112603.59414983261,-243319.08715709118,-133538.60523887345,-0.1390261694033,-0.83996541779179,-0.45613098543775,299526.80460947735,0.9658807663172015
2026-04-04T22:37:51.319,-112636.91763944925,-243520.57469843992,-133648.01972676505,-0.13866972856586,-0.83909763149495,-0.45565652771772,299751.79514668515,0.9648507656900799
2026-04-04T22:41:51.319,-112670.15569200712,-243721.85411831178,-133757.32042683876,-0.13831419351513,-0.83823107148664,-0.455182753258,299976.54396018496,0.9638223302024677
2026-04-04T22:45:51.319,-112703.3085246089,-243922.9257105382,-133866.50750281537,-0.13795956186968,-0.83736573378778,-0.45470965987948,300201.0514148531,0.9627954547155557
2026-04-04T22:49:51.319,-112736.37635378775,-244123.78976799772,-133975.58111789386,-0.13760583126467,-0.83650161443721,-0.45423724541316,300425.3178744258,0.9617701341145061
2026-04-04T22:53:51.319,-112769.35939551126,-244324.4465826204,-134084.54143475392,-0.13725299935174,-0.83563870949159,-0.45376550770009,300649.34370150545,0.9607463633083079
2026-04-04T22:57:51.319,-112802.25786518535,-244524.896445392,-134193.38861555821,-0.13690106379894,-0.83477701502527,-0.45329444459126,300873.1292575654,0.9597241372295897
2026-04-04T23:01:51.319,-112835.07197765827,-244725.13964635818,-134302.1228219549,-0.13655002229066,-0.83391652713018,-0.45282405394758,301096.6749029559,0.9587034508344908
