timestamp_utc,met_hours,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,distance_earth_km,speed_kms,speed_ms,data_type,source
2026-04-06 13:45:51.319,121.76425527777778,-124200.64137065008,-332522.1376909987,-182051.88866059447,-0.09927934759967,-0.44974150369417,-0.24915781284296,398923.1273520775,0.5236443685418537,523.6443685418537,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 13:49:51.319,121.83092194444446,-124224.55374962576,-332629.99201867444,-182111.64870225167,-0.09999232504214,-0.44904391958309,-0.2488423519967,399047.7464385551,0.5230309961456655,523.0309961456655,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 13:53:51.319,121.89758861111112,-124248.63858164995,-332737.6784603322,-182171.33290046404,-0.10071648981407,-0.44834243454903,-0.24852577750708,399172.2452617374,0.5224172776845322,522.4172776845321,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 13:57:51.319,121.96425527777778,-124272.89857597768,-332845.19606592297,-182230.9409831281,-0.10145204518967,-0.44763693272918,-0.24820804889524,399296.6237225583,0.52180319714691,521.8031971469101,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:01:51.319,122.03092194444444,-124297.33649123734,-332952.5438571288,-182290.4726682528,-0.10219919936266,-0.44692729438793,-0.24788912423424,399420.8817092119,0.5211887381102,521.1887381101999,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:05:51.319,122.09758861111112,-124321.9551366282,-333059.7208264152,-182349.92766360487,-0.10295816558943,-0.44621339576239,-0.24756896008864,399545.01909657865,0.5205738837270982,520.5738837270982,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:09:51.319,122.16425527777778,-124346.75737315364,-333166.7259360451,-182409.3056663393,-0.1037291623369,-0.44549510890079,-0.24724751145111,399669.0357456251,0.5199586167113769,519.9586167113769,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:13:51.319,122.23092194444445,-124371.74611488932,-333273.5581170536,-182468.60636261388,-0.10451241343521,-0.44477230149348,-0.24692473167596,399792.9315027745,0.5193429193231618,519.3429193231618,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:17:51.319,122.29758861111111,-124396.92433028964,-333380.21626818087,-182527.8294271881,-0.1053081482355,-0.44404483669589,-0.24660057240962,399916.7061992479,0.5187267733535853,518.7267733535853,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-06 14:21:51.319,122.36425527777779,-124422.29504353183,-333486.6992547619,-182586.97452300432,-0.10611660177285,-0.44331257294337,-0.24627498351755,400040.3596503732,0.5181101601088883,518.1101601088883,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
